query,course_id,course_name,relevance_grade,explanation,confidence,judgment_source
beginner Python programming,21304,Python Programming for Begineers,2,title matches=2; level match=Beginner,0.95,AI-assisted
beginner Python programming,20980,Python Programming in 5 Hours,2,title matches=2; level match=Beginner,0.95,AI-assisted
beginner Python programming,19709,Python Programming For Everyone,2,title matches=2; level match=Beginner,0.95,AI-assisted
beginner Python programming,22170,The Python Programming For Everyone Immersive Training,2,title matches=2; level match=Beginner,0.95,AI-assisted
beginner Python programming,20238,Programming with Python,2,title matches=2,0.93,AI-assisted
beginner Python programming,18965,2022-Master in Core Python Programming in 99Days,2,title matches=2,0.93,AI-assisted
beginner Python programming,22,Using Python to Interact with the Operating System,2,title matches=1; skills matches=2; level match=Beginner Level,0.95,AI-assisted
beginner Python programming,43,Crash Course on Python,3,title matches=1; skills matches=2; description matches=2; level match=Beginner Level,0.95,AI-assisted
beginner Python programming,332,Python Basics for Data Science,3,title matches=1; skills matches=2; description matches=3,0.95,AI-assisted
beginner Python programming,390,Introdução à Ciência da Computação com Python Parte 1,3,title matches=1; skills matches=2; description matches=1; level match=Beginner Level,0.95,AI-assisted
beginner Python programming,401,DevOps and Software Engineering,2,skills matches=2; description matches=3,0.95,AI-assisted
beginner Python programming,492,Quantitative Methods for Biology,2,skills matches=2; description matches=3,0.95,AI-assisted
beginner Python programming,84,Programming for Everybody (Getting Started with Python),3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
beginner Python programming,126,Computing in Python I: Fundamentals and Procedural Programming,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
beginner Python programming,308,CS50's Introduction to Programming with Python,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
beginner Python programming,325,CS50's Web Programming with Python and JavaScript,3,title matches=2; skills matches=2; description matches=1,0.95,AI-assisted
beginner Python programming,457,Programming for Everybody (Getting Started with Python),3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
beginner Python programming,619,Teach teens computing: Programming in Python,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
advanced Python automation,21080,Learn Pro Advanced Python Programming,2,title matches=2,0.93,AI-assisted
advanced Python automation,19648,Learn Advanced Python Programming,2,title matches=2,0.93,AI-assisted
advanced Python automation,19553,Learn Advanced Python Programming in 2022,2,title matches=2,0.93,AI-assisted
advanced Python automation,19888,Python Programming/Script/OOP/Advanced for Python Projects,2,title matches=2,0.93,AI-assisted
advanced Python automation,22438,TOTAL Python: Become an Advanced Python Developer in 16 days,2,title matches=2,0.93,AI-assisted
advanced Python automation,22482,Complete Python Programming-Python Basics to Advanced Python,2,title matches=2,0.93,AI-assisted
advanced Python automation,839,Modeling and Simulation of Multibody Systems - Part I,2,skills matches=2; description matches=1; level match=Advanced,0.93,AI-assisted
advanced Python automation,1477,Full Stack Application Development,2,"skills matches=2; description matches=1; level match=Introductory, Intermediate, Advanced",0.93,AI-assisted
advanced Python automation,1572,Applied Tiny Machine Learning (TinyML) for Scale,2,"skills matches=1; description matches=1; level match=Intermediate, Advanced",0.77,AI-assisted
advanced Python automation,1628,Data Engineering Foundations,2,"skills matches=2; description matches=2; level match=Introductory, Advanced",0.95,AI-assisted
